"41.644067","-87.733963","Shop & Service"
"41.64409312566893","-87.7377516970072","Food"
"41.644168","-87.699721","Nightlife Spot"
"41.6441994533311","-87.73754494290152","Food"
"41.644208","-87.737962","Food"
"41.64421081542969","-87.8349380493164","Outdoors & Recreation"
"41.64421903212558","-87.73853062260966","Outdoors & Recreation"
"41.644248962402344","-87.71857452392578","Travel & Transport"
"41.64427461179566","-87.73838637813772","Food"
"41.644296","-87.733744","Shop & Service"
"41.64438381","-87.63927599","Nightlife Spot"
"41.64439299223222","-87.70223587787768","Shop & Service"
"41.644415986702214","-87.73744404315948","Food"
"41.64445","-87.639103","Nightlife Spot"
"41.64445219380843","-87.62174483010723","Shop & Service"
"41.64445459842682","-87.70167410373688","Food"
"41.644527","-87.638908","Nightlife Spot"
"41.644554","-87.627635","Food"
"41.6445871","-87.62768695","Shop & Service"
"41.64462","-87.61442","Food"
"41.644628","-87.627962","Food"
"41.64464921539684","-87.54034718692228","Food"
"41.644683","-87.607873","Nightlife Spot"
"41.644706619653284","-87.73866713047028","Shop & Service"
"41.64471043552272","-87.6183558984161","Shop & Service"
"41.64489448070526","-87.64112591743469","Food"
"41.64491","-87.84345499999999","Outdoors & Recreation"
"41.64491733796562","-87.74029036820075","Outdoors & Recreation"
"41.64494290132554","-87.63716298437292","Shop & Service"
"41.644998954023976","-87.85359668412991","Outdoors & Recreation"
"41.64505337311429","-87.73854911327362","Shop & Service"
"41.645066","-87.67652090000001","Shop & Service"
"41.64522186174871","-87.55214191184777","Outdoors & Recreation"
"41.64522228196528","-87.62400076487066","Travel & Transport"
"41.645328521728516","-87.73876190185547","Shop & Service"
"41.64537946377618","-87.70864779782971","Outdoors & Recreation"
"41.6453812","-87.6802447","Shop & Service"
"41.64538728643451","-87.66190115730473","Outdoors & Recreation"
"41.64543498422538","-87.77091629600459","Outdoors & Recreation"
"41.64545540476174","-87.71858206457952","Travel & Transport"
"41.64562333861758","-87.82469212115078","Shop & Service"
"41.645642649282095","-87.73854911327362","Food"
"41.645714","-87.79578","Travel & Transport"
"41.64572214945574","-87.71871675156565","Travel & Transport"
"41.6458204164428","-87.79596107250264","Nightlife Spot"
"41.645857","-87.547243","Shop & Service"
"41.64589519456133","-87.73727238178253","Food"
"41.645898696352546","-87.54293434434587","Travel & Transport"
"41.64592926805495","-87.63309001922607","Shop & Service"
"41.64594268798828","-87.69908905029297","Travel & Transport"
"41.645953","-87.54288","Food"
"41.64596652254176","-87.54321441291052","Travel & Transport"
"41.646022","-87.79596447944641","Food"
"41.646094","-87.548414","Shop & Service"
"41.6461","-87.7373","Shop & Service"
"41.646143230772125","-87.79552888691306","Outdoors & Recreation"
"41.6461507","-87.7380104","Shop & Service"
"41.6461807","-87.6734215","Shop & Service"
"41.64620327248669","-87.75226540048558","Outdoors & Recreation"
"41.646225031718345","-87.73415981133114","Shop & Service"
"41.64623777963077","-87.60143640943127","Outdoors & Recreation"
"41.646273050342494","-87.68263522992113","Nightlife Spot"
"41.64627481038049","-87.79510630144536","Outdoors & Recreation"
"41.646275","-87.69877","Nightlife Spot"
"41.646317","-87.560124","Nightlife Spot"
"41.646318812008815","-87.72597482684883","Shop & Service"
"41.646331","-87.73738","Food"
"41.646354049462246","-87.63296306122356","Shop & Service"
"41.646372","-87.73637699999999","Shop & Service"
"41.646508514689685","-87.73509979248047","Shop & Service"
"41.646561","-87.774237","Shop & Service"
"41.64656463519418","-87.73707926273346","Food"
"41.6465798279544","-87.84319562698363","Shop & Service"
"41.646610709441475","-87.77011870834134","Outdoors & Recreation"
"41.64661185359787","-87.75337573081244","Food"
"41.64661503136204","-87.81790896557699","Shop & Service"
"41.64663829750856","-87.8505272058306","Shop & Service"
"41.646656","-87.753022","Food"
"41.64666426653905","-87.75337092424633","Food"
"41.646681333044974","-87.56052223678205","Outdoors & Recreation"
"41.646688","-87.73194","Shop & Service"
"41.646749030793366","-87.73812532424927","Shop & Service"
"41.646763","-87.753605","Food"
"41.646801","-87.7528","Food"
"41.6468292","-87.73720264","Shop & Service"
"41.64686483235669","-87.77759433926127","Food"
"41.64696273208551","-87.77751267131104","Shop & Service"
"41.64704","-87.777293","Food"
"41.647050816900574","-87.77703226861607","Travel & Transport"
"41.647125","-87.719098","Food"
"41.64713488143819","-87.71855801328995","Food"
"41.64719","-87.73621","Shop & Service"
"41.647221","-87.776506","Shop & Service"
"41.647267","-87.636187","Food"
"41.64729419730428","-87.74505615234375","Outdoors & Recreation"
"41.647342681884766","-87.72840118408203","Travel & Transport"
"41.64742247110701","-87.7408504486084","Outdoors & Recreation"
"41.64744186401367","-87.71888732910156","Travel & Transport"
"41.64748129307439","-87.80610183923905","Food"
"41.647494","-87.777002","Food"
"41.64756","-87.84321","Shop & Service"
"41.64759483862726","-87.73874759674072","Shop & Service"
"41.647635","-87.777001","Food"
"41.64766088150669","-87.70824364606212","Outdoors & Recreation"
"41.64767837524414","-87.71871948242188","Travel & Transport"
"41.647679255052026","-87.77605223128182","Food"
"41.6476802012955","-87.56053671758751","Outdoors & Recreation"
"41.647776340674135","-87.61764240711241","Travel & Transport"
"41.647806824924274","-87.76473702628077","Outdoors & Recreation"
"41.64783935920208","-87.74692296981812","Travel & Transport"
"41.64786911010742","-87.6990737915039","Travel & Transport"
"41.6478952","-87.7379969","Shop & Service"
"41.64789855480194","-87.79216647148132","Food"
"41.647919","-87.747654","Shop & Service"
"41.647975","-87.776495","Food"
"41.64799970005882","-87.84186244010924","Shop & Service"
"41.64801569162837","-87.54391457686184","Nightlife Spot"
